Origin,Destination,Hotel Property,Hotel Nights Stay,Hotel Check In Date,Hotel Check Out Date,Expedia Package Price/Person,JetBlue Package Price/Person,% Savings (Compared to Expedia),Month,Advance_weeks,count
BOS,JFK,"70 Park Avenue Hotel, a Kimpton Hotel",3,10/21/15,10/24/15,1088.73,991.22,8.96%,10,within 1 wk,1
BOS,JFK,"70 Park Avenue Hotel, a Kimpton Hotel",7,10/23/15,10/30/15,1729.7,1657.41,4.18%,10,within 1 wk,1
BOS,JFK,"70 Park Avenue Hotel, a Kimpton Hotel",7,10/21/15,10/28/15,1906.37,1883.47,1.20%,10,within 1 wk,1
BOS,JFK,"70 Park Avenue Hotel, a Kimpton Hotel",7,10/24/15,10/31/15,1684.68,1673.87,0.64%,10,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,10/21/15,10/24/15,1118.69,709.14,36.61%,10,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,11/7/15,11/14/15,1310.76,951.52,27.41%,11,1-2 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,11/4/15,11/11/15,1345.08,1044.93,22.31%,11,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,11/14/15,11/21/15,1346.53,1072.96,20.32%,11,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,10/24/15,10/27/15,780.83,625.13,19.94%,10,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/14/15,11/17/15,704.91,568.13,19.40%,11,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,11/15/15,11/22/15,1415.17,1141.51,19.34%,11,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/4/15,11/7/15,767.03,622.42,18.85%,11,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,11/13/15,11/20/15,1328.62,1093.22,17.72%,11,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/8/15,11/11/15,572.12,475.6,16.87%,11,1-2 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/7/15,11/10/15,696.99,580.09,16.77%,11,1-2 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,10/21/15,10/28/15,1434.44,1194.58,16.72%,10,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/13/15,11/16/15,1030.51,861.26,16.42%,11,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,11/8/15,11/15/15,1391.59,1187.51,14.67%,11,1-2 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/18/15,11/21/15,746.16,640.81,14.12%,11,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/15/15,11/18/15,546.76,485.24,11.25%,11,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,11/11/15,11/18/15,1221.63,1114.36,8.78%,11,1-2 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,11/25/15,12/2/15,1289.85,1187.7,7.92%,11,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/1/15,11/4/15,634.64,591.49,6.80%,11,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7,10/24/15,10/31/15,1304.48,1241.89,4.80%,10,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,10/23/15,10/26/15,982.17,939.39,4.36%,10,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/11/15,11/14/15,698,682.21,2.26%,11,1-2 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3,11/21/15,11/24/15,828.13,818.78,1.13%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,7,11/20/15,11/27/15,1302.9,817.05,37.29%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,7,11/18/15,11/25/15,1313.96,866.7,34.04%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,7,11/21/15,11/28/15,1338.4,884.23,33.93%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,7,11/15/15,11/22/15,1303.36,872.17,33.08%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,7,11/22/15,11/29/15,1612.41,1082.23,32.88%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,3,11/20/15,11/23/15,799.81,624.15,21.96%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,7,10/24/15,10/31/15,1439.05,1131.64,21.36%,10,within 1 wk,1
JFK,BGI,Accra Beach Resort,3,11/22/15,11/25/15,784.36,620.41,20.90%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,3,11/21/15,11/24/15,780.91,622.28,20.31%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,7,10/28/15,11/4/15,1226.79,979.27,20.18%,10,within 1 wk,1
JFK,BGI,Accra Beach Resort,7,11/14/15,11/21/15,1188.91,955.17,19.66%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,7,11/25/15,12/2/15,1118.95,912.23,18.47%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,7,11/4/15,11/11/15,1155.98,946.92,18.09%,11,within 1 wk,1
JFK,BGI,Accra Beach Resort,7,11/6/15,11/13/15,1120.59,918.6,18.03%,11,1-2 wks,1
JFK,BGI,Accra Beach Resort,7,11/7/15,11/14/15,1155.56,949.7,17.81%,11,1-2 wks,1
JFK,BGI,Accra Beach Resort,7,11/8/15,11/15/15,1294.95,1081.52,16.48%,11,1-2 wks,1
JFK,BGI,Accra Beach Resort,7,10/30/15,11/6/15,1357.12,1135.16,16.36%,10,within 1 wk,1
JFK,BGI,Accra Beach Resort,7,10/25/15,11/1/15,1637.09,1410.64,13.83%,10,within 1 wk,1
JFK,BGI,Accra Beach Resort,7,11/11/15,11/18/15,1031.34,895.17,13.20%,11,1-2 wks,1
JFK,BGI,Accra Beach Resort,7,10/31/15,11/7/15,1057.38,939.92,11.11%,10,within 1 wk,1
JFK,BGI,Accra Beach Resort,3,10/28/15,10/31/15,825.06,735.79,10.82%,10,within 1 wk,1
JFK,BGI,Accra Beach Resort,7,11/1/15,11/8/15,1128.52,1006.92,10.78%,11,within 1 wk,1
JFK,BGI,Accra Beach Resort,3,11/18/15,11/21/15,697.3,626.02,10.22%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,3,11/8/15,11/11/15,682.87,620.41,9.15%,11,1-2 wks,1
JFK,BGI,Accra Beach Resort,3,11/15/15,11/18/15,686.74,626.02,8.84%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,3,11/7/15,11/10/15,733.69,671.41,8.49%,11,1-2 wks,1
JFK,BGI,Accra Beach Resort,3,11/1/15,11/4/15,813.87,744.79,8.49%,11,within 1 wk,1
JFK,BGI,Accra Beach Resort,3,11/25/15,11/28/15,758.55,694.41,8.46%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,3,10/30/15,11/2/15,972.58,891.25,8.36%,10,within 1 wk,1
JFK,BGI,Accra Beach Resort,3,10/24/15,10/27/15,957.01,877.42,8.32%,10,within 1 wk,1
JFK,BGI,Accra Beach Resort,3,11/6/15,11/9/15,754.8,695.79,7.82%,11,1-2 wks,1
JFK,BGI,Accra Beach Resort,3,11/11/15,11/14/15,793.35,732.02,7.73%,11,1-2 wks,1
JFK,BGI,Accra Beach Resort,3,11/13/15,11/16/15,720.35,677.02,6.02%,11,2-4 wks,1
JFK,BGI,Accra Beach Resort,3,11/14/15,11/17/15,778.25,732.02,5.94%,11,2-4 wks,1
